"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
926807,1939,1,-2,9,50,-2,0,150,-3,NA,-5,-5,0,5,9,-2,NA,NA,NA,NA,NA
926809,1938,1,1992,4,63,2,4,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926816,1939,1,2008,3,13,-2,-2,140,0,0,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA
926817,1938,2,-2,6,91,-2,-2,52,0,8,6,2,2,2,8,-2,NA,10,1,1,0
926823,1938,1,2017,6,58,-2,-2,152,0,6,8,0,2,2,4,4,1,NA,NA,NA,NA
926826,1939,2,2021,6,52,-2,-2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926827,1939,1,-2,9,-3,2,4,130,0,1,12,0,3,4,10,-2,3,12,-2,1,0
926830,1939,1,2019,9,42,4,8,1300,0,8,6,0,6,6,5,-2,-29,NA,NA,NA,NA
926838,1939,1,-2,6,-3,-2,3,189,-2,4,10,-2,2,3,6,4,4,10,5,2,5
926844,1939,2,-2,4,48,-2,-2,75,0,4,5,0,-3,2,6,-2,-29,4,-2,1,4
926845,1939,2,2022,4,72,-2,-2,15,-2,4,-2,-2,4,2,-2,-2,4,NA,NA,NA,NA
926849,1939,1,2015,4,84,-2,1,210,-2,3,-2,-2,10,6,-2,-2,3,NA,NA,NA,NA
926850,1938,2,-2,6,62,2,-3,-3,-2,NA,-2,-2,NA,0,-2,-2,5,NA,NA,NA,NA
926859,1939,1,2020,2,42,-2,-2,140,0,2,0,0,4,2,5,-2,6,NA,NA,NA,NA
926861,1939,1,-2,6,41,-2,-2,130,0,0,7,0,4,5,6,-2,2,6,-2,2,2
926862,1939,2,-2,5,-3,-2,-2,35,-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
